Activity Period,Operating Airline,GEO Summary,Passenger Count
201806,Virgin Atlantic,International,34531
201905,British Airways,International,41302
201807,Air Canada,International,112260
201810,Swiss International,International,18698
201909,Norwegian Air UK Ltd,International,13762
201803,ABC Aerolineas S.A. de C.V. dba Interjet,International,2302
201902,"COPA Airlines, Inc.",International,14102
201808,Swiss International,International,19711
201908,Lufthansa German Airlines,International,45088
201805,Air Pacific Limited dba Fiji Airways,International,3757
201812,Cathay Pacific,International,46699
201812,Jazz Aviation,International,14740
201902,ABC Aerolineas S.A. de C.V. dba Interjet,International,8471
201803,"COPA Airlines, Inc.",International,19414
201905,United Airlines,International,420180
201908,Singapore Airlines,International,31167
201906,Air India Limited,International,17805
201812,Air France,International,14767
201907,Hong Kong Airlines Limited,International,9593
201904,Norwegian Air UK Ltd,International,13679
201901,China Airlines,International,20389
201806,Thomas Cook Airlines,International,6646
201811,Finnair,International,3163
201901,Emirates,International,27365
201901,TACA,International,15324
201903,Frontier Airlines,Domestic,25264
201909,Cathay Pacific,International,31348
201901,Turkish Airlines,International,19266
201809,Volaris Airlines,International,4261
201906,Philippine Airlines,International,34113
201909,Jazz Aviation,International,11858
201802,Swiss International,International,12810
201901,EVA Airways,International,58262
201806,American Airlines,Domestic,360139
201806,Sun Country Airlines,Domestic,16284
201803,Korean Air Lines,International,25045
201803,SkyWest Airlines,Domestic,339898
201905,Aer Lingus,International,16198
201902,Air China,International,17872
201904,Air France,International,32777
201805,KLM Royal Dutch Airlines,International,28448
201909,Air France,International,36451
201809,Frontier Airlines,Domestic,26178
201805,SkyWest Airlines,International,13834
201806,Compass Airlines,Domestic,45646
201904,Jazz Aviation,International,15776
201803,Air China,International,18731
201806,Iberia,International,6710
201806,Southwest Airlines,Domestic,345778
201906,Hawaiian Airlines,Domestic,31437
201908,Horizon Air,Domestic,31498
201901,United Airlines,Domestic,1218683
201905,Qantas Airways,International,22118
201906,French Bee,International,12766
201905,Air New Zealand,International,12816
201907,Alaska Airlines,International,18303
201902,Korean Air Lines,International,25633
201904,Cathay Pacific,International,44124
201902,SkyWest Airlines,Domestic,294901
201903,China Airlines,International,18640
201909,United Airlines,International,402721
201807,Aeromexico,International,28236
201812,Qantas Airways,International,21551
201803,Hong Kong Airlines Limited,International,2207
201812,Air New Zealand,International,15942
201906,Thomas Cook Airlines,International,7589
201908,JetBlue Airways,Domestic,126687
201903,Emirates,International,25942
201802,Sun Country Airlines,International,1519
201806,Air India Limited,International,16841
201904,British Airways,International,39407
201804,Swiss International,International,18701
201807,SAS Airlines,International,14846
201907,"COPA Airlines, Inc.",International,17280
201805,China Eastern,International,20858
201809,China Airlines,International,16732
201812,Aer Lingus,International,12854
